,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
28378,2018,CALIFORNIA,CA,6,93,71,US HOUSE,21,GEN,,False,TJ COX,DEMOCRAT,False,TOTAL,57239,113616,False,20230706,False
28379,2018,CALIFORNIA,CA,6,93,71,US HOUSE,22,GEN,,False,ANDREW JANZ,DEMOCRAT,False,TOTAL,105136,222379,False,20230706,False
28380,2018,CALIFORNIA,CA,6,93,71,US HOUSE,22,GEN,,False,DEVIN G NUNES,REPUBLICAN,False,TOTAL,117243,222379,False,20230706,False
28381,2018,CALIFORNIA,CA,6,93,71,US HOUSE,23,GEN,,False,KEVIN MCCARTHY,REPUBLICAN,False,TOTAL,131113,205774,False,20230706,False
28382,2018,CALIFORNIA,CA,6,93,71,US HOUSE,23,GEN,,False,TATIANA MATTA,DEMOCRAT,False,TOTAL,74661,205774,False,20230706,False
28383,2018,CALIFORNIA,CA,6,93,71,US HOUSE,24,GEN,,False,JUSTIN FAREED,REPUBLICAN,False,TOTAL,117881,284431,False,20230706,False
28384,2018,CALIFORNIA,CA,6,93,71,US HOUSE,24,GEN,,False,SALUD CARBAJAL,DEMOCRAT,False,TOTAL,166550,284431,False,20230706,False
28385,2018,CALIFORNIA,CA,6,93,71,US HOUSE,25,GEN,,False,KATIE HILL,DEMOCRAT,False,TOTAL,133209,245022,False,20230706,False
28386,2018,CALIFORNIA,CA,6,93,71,US HOUSE,25,GEN,,False,STEVE KNIGHT,REPUBLICAN,False,TOTAL,111813,245022,False,20230706,False
28387,2018,CALIFORNIA,CA,6,93,71,US HOUSE,26,GEN,,False,ANTONIO SABATO JR,REPUBLICAN,False,TOTAL,97210,255426,False,20230706,False
28388,2018,CALIFORNIA,CA,6,93,71,US HOUSE,26,GEN,,False,JULIA BROWNLEY,DEMOCRAT,False,TOTAL,158216,255426,False,20230706,False
28389,2018,CALIFORNIA,CA,6,93,71,US HOUSE,27,GEN,,False,BRYAN WITT,DEMOCRAT,False,TOTAL,42132,202636,False,20230706,False
28390,2018,CALIFORNIA,CA,6,93,71,US HOUSE,27,GEN,,False,JUDY CHU,DEMOCRAT,False,TOTAL,160504,202636,False,20230706,False
28391,2018,CALIFORNIA,CA,6,93,71,US HOUSE,28,GEN,,False,ADAM B SCHIFF,DEMOCRAT,False,TOTAL,196662,250934,False,20230706,False
28392,2018,CALIFORNIA,CA,6,93,71,US HOUSE,28,GEN,,False,JOHNNY J NALBANDIAN,REPUBLICAN,False,TOTAL,54272,250934,False,20230706,False
28393,2018,CALIFORNIA,CA,6,93,71,US HOUSE,29,GEN,,False,BENITO BENNY BERNAL,REPUBLICAN,False,TOTAL,29995,154692,False,20230706,False
28394,2018,CALIFORNIA,CA,6,93,71,US HOUSE,29,GEN,,False,TONY CARDENAS,DEMOCRAT,False,TOTAL,124697,154692,False,20230706,False
28395,2018,CALIFORNIA,CA,6,93,71,US HOUSE,30,GEN,,False,BRAD SHERMAN,DEMOCRAT,False,TOTAL,191573,260993,False,20230706,False
28396,2018,CALIFORNIA,CA,6,93,71,US HOUSE,30,GEN,,False,MARK S REED,REPUBLICAN,False,TOTAL,69420,260993,False,20230706,False
28397,2018,CALIFORNIA,CA,6,93,71,US HOUSE,31,GEN,,False,PETE AGUILAR,DEMOCRAT,False,TOTAL,110143,187495,False,20230706,False
28398,2018,CALIFORNIA,CA,6,93,71,US HOUSE,31,GEN,,False,SEAN FLYNN,REPUBLICAN,False,TOTAL,77352,187495,False,20230706,False
