year,state,district,c1,c2,c1_party,c2_party,c1_votes,c2_votes,winner,winner_party
2018,DELAWARE,0,LISA BLUNT ROCHESTER,SCOTT WALKER,DEMOCRAT,REPUBLICAN,227353,125384.0,LISA BLUNT ROCHESTER,DEMOCRAT
2018,FLORIDA,1,MATT GAETZ,JENNIFER M ZIMMERMAN,REPUBLICAN,DEMOCRAT,216189,106199.0,MATT GAETZ,REPUBLICAN
2018,FLORIDA,2,NEAL DUNN,BOB RACKLEFF,REPUBLICAN,DEMOCRAT,199335,96233.0,NEAL DUNN,REPUBLICAN
2018,FLORIDA,3,TED YOHO,YVONNE HAYES HINSON,REPUBLICAN,DEMOCRAT,176616,129880.0,TED YOHO,REPUBLICAN
2018,FLORIDA,4,JOHN H RUTHERFORD,"GEORGE ""GES"" SELMONT",REPUBLICAN,DEMOCRAT,248420,123351.0,JOHN H RUTHERFORD,REPUBLICAN
2018,FLORIDA,5,AL LAWSON,VIRGINIA FULLER,DEMOCRAT,REPUBLICAN,180527,89799.0,AL LAWSON,DEMOCRAT
2018,FLORIDA,6,MICHAEL WALTZ,NANCY SODERBERG,REPUBLICAN,DEMOCRAT,187891,145758.0,MICHAEL WALTZ,REPUBLICAN
2018,FLORIDA,7,STEPHANIE MURPHY,MIKE MILLER,DEMOCRAT,REPUBLICAN,183113,134285.0,STEPHANIE MURPHY,DEMOCRAT
2018,FLORIDA,8,BILL POSEY,SANJAY PATEL,REPUBLICAN,DEMOCRAT,218112,142415.0,BILL POSEY,REPUBLICAN
2018,FLORIDA,9,DARREN SOTO,WAYNE LIEBNITZKY,DEMOCRAT,REPUBLICAN,172172,124565.0,DARREN SOTO,DEMOCRAT
2018,FLORIDA,10,VAL DEMINGS,,DEMOCRAT,,1,,VAL DEMINGS,DEMOCRAT
2018,FLORIDA,11,DANIEL WEBSTER,DANA COTTRELL,REPUBLICAN,DEMOCRAT,239395,128053.0,DANIEL WEBSTER,REPUBLICAN
2018,FLORIDA,12,GUS MICHAEL BILIRAKIS,CHRIS HUNTER,REPUBLICAN,DEMOCRAT,194564,132844.0,GUS MICHAEL BILIRAKIS,REPUBLICAN
2018,FLORIDA,13,CHARLIE CRIST,GEORGE BUCK,DEMOCRAT,REPUBLICAN,182717,134254.0,CHARLIE CRIST,DEMOCRAT
2018,FLORIDA,14,KATHY CASTOR,,DEMOCRAT,,1,,KATHY CASTOR,DEMOCRAT
2018,FLORIDA,15,ROSS SPANO,KRISTEN CARLSON,REPUBLICAN,DEMOCRAT,151380,134132.0,ROSS SPANO,REPUBLICAN
2018,FLORIDA,16,VERN BUCHANAN,DAVID SHAPIRO,REPUBLICAN,DEMOCRAT,197483,164463.0,VERN BUCHANAN,REPUBLICAN
2018,FLORIDA,17,GREG STEUBE,ALLEN ELLISON,REPUBLICAN,DEMOCRAT,193326,117194.0,GREG STEUBE,REPUBLICAN
2018,FLORIDA,18,BRIAN MAST,LAUREN BAER,REPUBLICAN,DEMOCRAT,185905,156454.0,BRIAN MAST,REPUBLICAN
2018,FLORIDA,19,FRANCIS ROONEY,DAVID HOLDEN,REPUBLICAN,DEMOCRAT,211465,128106.0,FRANCIS ROONEY,REPUBLICAN
2018,FLORIDA,20,ALCEE L HASTINGS,JAY BONNER,DEMOCRAT,NO PARTY AFFILIATION,202659,165.0,ALCEE L HASTINGS,DEMOCRAT
2018,FLORIDA,21,LOIS FRANKEL,,DEMOCRAT,,1,,LOIS FRANKEL,DEMOCRAT
2018,FLORIDA,22,TED DEUTCH,NICOLAS KIMAZ,DEMOCRAT,REPUBLICAN,184634,113049.0,TED DEUTCH,DEMOCRAT
2018,FLORIDA,23,DEBBIE WASSERMAN SCHULTZ,"JOSEPH ""JOE"" KAUFMAN",DEMOCRAT,REPUBLICAN,161611,99446.0,DEBBIE WASSERMAN SCHULTZ,DEMOCRAT
2018,FLORIDA,24,FREDERICA WILSON,,DEMOCRAT,,1,,FREDERICA WILSON,DEMOCRAT
2018,FLORIDA,25,MARIO DIAZ-BALART,MARY BARZEE FLORES,REPUBLICAN,DEMOCRAT,128672,84173.0,MARIO DIAZ-BALART,REPUBLICAN
2018,FLORIDA,26,DEBBIE MUCARSEL-POWELL,CARLOS CURBELO,DEMOCRAT,REPUBLICAN,119797,115678.0,DEBBIE MUCARSEL-POWELL,DEMOCRAT
2018,FLORIDA,27,DONNA SHALALA,MARIA ELVIRA SALAZAR,DEMOCRAT,REPUBLICAN,130743,115588.0,DONNA SHALALA,DEMOCRAT
2018,GEORGIA,1,"EARL L ""BUDDY"" CARTER",LISA M RING,REPUBLICAN,DEMOCRAT,144741,105942.0,"EARL L ""BUDDY"" CARTER",REPUBLICAN
2018,GEORGIA,2,SANFORD BISHOP,HERMAN WEST JR,DEMOCRAT,REPUBLICAN,136699,92472.0,SANFORD BISHOP,DEMOCRAT
