year,state,district,c1_x,c2_x,c1_party_x,c2_party_x,c1_votes,c2_votes,winner,winner_party,c1_y,c2_y,c1_party_y,c2_party_y,c1_pct,c2_pct
2018,COLORADO,2,JOE NEGUSE,PETER YU,DEMOCRAT,REPUBLICAN,259608.0,144901.0,JOE NEGUSE,DEMOCRAT,,,,,,
2018,COLORADO,3,SCOTT R TIPTON,DIANE MITSCH BUSH,REPUBLICAN,DEMOCRAT,173205.0,146426.0,SCOTT R TIPTON,REPUBLICAN,SCOTT TIPTON,SCOTT TIPTON,REP,REP,53.0,46.0
2018,COLORADO,4,KEN BUCK,KAREN MCCORMICK,REPUBLICAN,DEMOCRAT,224038.0,145544.0,KEN BUCK,REPUBLICAN,,,,,,
2018,COLORADO,5,DOUG LAMBORN,STEPHANY ROSE SPAULDING,REPUBLICAN,DEMOCRAT,184002.0,126848.0,DOUG LAMBORN,REPUBLICAN,,,,,,
2018,COLORADO,6,JASON CROW,MIKE COFFMAN,DEMOCRAT,REPUBLICAN,187639.0,148685.0,JASON CROW,DEMOCRAT,JASON CROW,JASON CROW,DEM,DEM,51.89,50.86
2018,COLORADO,7,ED PERLMUTTER,MARK BARRINGTON,DEMOCRAT,REPUBLICAN,204260.0,119734.0,ED PERLMUTTER,DEMOCRAT,,,,,,
2018,CONNECTICUT,1,JOHN B LARSON,JENNIFER T NYE,DEMOCRAT,REPUBLICAN,166155.0,96024.0,JOHN B LARSON,DEMOCRAT,,,,,,
2018,CONNECTICUT,2,JOE COURTNEY,DANNY POSTEMSKI JR,DEMOCRAT,REPUBLICAN,167659.0,102483.0,JOE COURTNEY,DEMOCRAT,,,,,,
2018,CONNECTICUT,3,ROSA L DELAURO,ANGEL CADENA,DEMOCRAT,REPUBLICAN,163211.0,95667.0,ROSA L DELAURO,DEMOCRAT,,,,,,
2018,CONNECTICUT,4,JIM HIMES,HARRY ARORA,DEMOCRAT,REPUBLICAN,168726.0,103175.0,JIM HIMES,DEMOCRAT,,,,,,
2018,CONNECTICUT,5,JAHANA HAYES,MANNY SANTOS,DEMOCRAT,REPUBLICAN,142901.0,115146.0,JAHANA HAYES,DEMOCRAT,,,,,,
2018,DELAWARE,0,LISA BLUNT ROCHESTER,SCOTT WALKER,DEMOCRAT,REPUBLICAN,227353.0,125384.0,LISA BLUNT ROCHESTER,DEMOCRAT,,,,,,
2018,FLORIDA,1,MATT GAETZ,JENNIFER M ZIMMERMAN,REPUBLICAN,DEMOCRAT,216189.0,106199.0,MATT GAETZ,REPUBLICAN,MATT GAETZ,JENNIFER M. ZIMMERMAN,REP,DEM,55.5,24.8
2018,FLORIDA,2,NEAL DUNN,BOB RACKLEFF,REPUBLICAN,DEMOCRAT,199335.0,96233.0,NEAL DUNN,REPUBLICAN,,,,,,
2018,FLORIDA,3,TED YOHO,YVONNE HAYES HINSON,REPUBLICAN,DEMOCRAT,176616.0,129880.0,TED YOHO,REPUBLICAN,,,,,,
2018,FLORIDA,4,JOHN H RUTHERFORD,"GEORGE ""GES"" SELMONT",REPUBLICAN,DEMOCRAT,248420.0,123351.0,JOHN H RUTHERFORD,REPUBLICAN,,,,,,
2018,FLORIDA,5,AL LAWSON,VIRGINIA FULLER,DEMOCRAT,REPUBLICAN,180527.0,89799.0,AL LAWSON,DEMOCRAT,,,,,,
2018,FLORIDA,6,MICHAEL WALTZ,NANCY SODERBERG,REPUBLICAN,DEMOCRAT,187891.0,145758.0,MICHAEL WALTZ,REPUBLICAN,MICHAEL WALTZ,MICHAEL WALTZ,REP,REP,47.5,47.0
2018,FLORIDA,7,STEPHANIE MURPHY,MIKE MILLER,DEMOCRAT,REPUBLICAN,183113.0,134285.0,STEPHANIE MURPHY,DEMOCRAT,STEPHANIE MURPHY,MIKE MILLER,DEM,REP,47.3,45.8
