,year,state,district,c1_x,c2_x,c1_party_x,c2_party_x,c1_votes,c2_votes,winner,winner_party,c1_y,c2_y,c1_party_y,c2_party_y,c1_pct,c2_pct
125,2018,PENNSYLVANIA,17,CONOR JAMES LAMB,KEITH ROTHFUS,DEMOCRAT,REPUBLICAN,325579,325579,CONOR JAMES LAMB,DEMOCRAT,CONOR LAMB,CONOR LAMB,DEM,DEM,55.0,54.0
126,2018,PENNSYLVANIA,18,MICHAEL F DOYLE JR,,DEMOCRAT,,231472,,MICHAEL F DOYLE JR,DEMOCRAT,CONOR LAMB,CONOR LAMB,DEM,DEM,51.0,51.0
127,2018,SOUTH CAROLINA,1,JOE CUNNINGHAM,KATIE ARRINGTON,DEMOCRAT,REPUBLICAN,287433,287433,JOE CUNNINGHAM,DEMOCRAT,KATIE ARRINGTON,JOE CUNNINGHAM,REP,DEM,49.0,42.0
128,2018,TEXAS,6,JANA LYNNE SANCHEZ,JASON ALLEN HARBER,DEMOCRAT,LIBERTARIAN,256042,256042,JANA LYNNE SANCHEZ,DEMOCRAT,RON WRIGHT,JANA LYNNE SANCHEZ,REP,DEM,48.0,39.0
129,2018,TEXAS,7,JOHN CULBERSON,LIZZIE PANNILL FLETCHER,REPUBLICAN,DEMOCRAT,243601,243601,JOHN CULBERSON,REPUBLICAN,JOHN ABNEY CULBERSON,LIZZIE FLETCHER,REP,DEM,48.34,47.13
130,2018,TEXAS,10,MICHAEL T MCCAUL,MIKE RYAN,REPUBLICAN,LIBERTARIAN,307827,307827,MICHAEL T MCCAUL,REPUBLICAN,MICHAEL T. MCCAUL,MIKE SIEGEL,REP,DEM,39.0,36.0
131,2018,TEXAS,12,JACOB LEDDY,KAY GRANGER,LIBERTARIAN,REPUBLICAN,268491,268491,JACOB LEDDY,LIBERTARIAN,KAY GRANGER,VANESSA ADIA,REP,DEM,62.0,30.0
132,2018,TEXAS,17,BILL FLORES,PETER CHURCHMAN,REPUBLICAN,LIBERTARIAN,237351,237351,BILL FLORES,REPUBLICAN,BILL FLORES,RICK KENNEDY,REP,DEM,54.3,38.3
133,2018,TEXAS,21,CHIP ROY,JOSEPH KOPSER,REPUBLICAN,DEMOCRAT,353617,353617,CHIP ROY,REPUBLICAN,CHIP ROY,JOSEPH KOPSER,REP,DEM,50.0,38.0
134,2018,TEXAS,23,GINA ORTIZ JONES,RUBEN CORVALAN,DEMOCRAT,LIBERTARIAN,210069,210069,GINA ORTIZ JONES,DEMOCRAT,WILL HURD,WILL HURD,REP,REP,55.0,53.05
135,2018,TEXAS,31,JASON HOPE,JOHN CARTER,LIBERTARIAN,REPUBLICAN,286007,286007,JASON HOPE,LIBERTARIAN,JOHN CARTER,JOHN CARTER,REP,REP,54.0,52.75
136,2018,TEXAS,32,COLIN ALLRED,MELINA BAKER,DEMOCRAT,LIBERTARIAN,275620,275620,COLIN ALLRED,DEMOCRAT,COLIN ALLRED,PETER SESSIONS,DEM,REP,50.0,48.39
137,2018,UTAH,1,ADAM DAVIS,ERIC ELIASON,GREEN,INDEPENDENT,254333,254333,ADAM DAVIS,GREEN,ROB BISHOP,ROB BISHOP,REP,REP,59.0,52.0
138,2018,UTAH,2,CHRIS STEWART,JEFFREY WHIPPLE,REPUBLICAN,LIBERTARIAN,270044,270044,CHRIS STEWART,REPUBLICAN,CHRIS STEWART,CHRIS STEWART,REP,REP,52.0,49.0
